inventory_id,item_name,category,usage_date,quantity_used,quantity_restocked,ending_stock,reorder_level,day_of_week,month,previous_day_usage,last_week_same_day_usage
1,Nobivac Rabies,Vaccines,01/01/2025,0,0,120,20,Wednesday,1,0,0
1,Nobivac Rabies,Vaccines,02/01/2025,0,0,120,20,Thursday,1,0,0
1,Nobivac Rabies,Vaccines,03/01/2025,0,0,120,20,Friday,1,0,0
1,Nobivac Rabies,Vaccines,04/01/2025,0,0,120,20,Saturday,1,0,0
1,Nobivac Rabies,Vaccines,05/01/2025,0,0,120,20,Sunday,1,0,0
1,Nobivac Rabies,Vaccines,06/01/2025,0,0,120,20,Monday,1,0,0
1,Nobivac Rabies,Vaccines,07/01/2025,0,0,120,20,Tuesday,1,0,0
1,Nobivac Rabies,Vaccines,08/01/2025,0,0,120,20,Wednesday,1,0,0
1,Nobivac Rabies,Vaccines,09/01/2025,0,0,120,20,Thursday,1,0,0
1,Nobivac Rabies,Vaccines,10/01/2025,0,0,120,20,Friday,1,0,0
1,Nobivac Rabies,Vaccines,11/01/2025,0,0,120,20,Saturday,1,0,0
1,Nobivac Rabies,Vaccines,12/01/2025,0,0,120,20,Sunday,1,0,0
1,Nobivac Rabies,Vaccines,13/01/2025,3,0,117,20,Monday,1,0,0
1,Nobivac Rabies,Vaccines,14/01/2025,0,0,117,20,Tuesday,1,3,0
1,Nobivac Rabies,Vaccines,15/01/2025,6,0,111,20,Wednesday,1,0,0
1,Nobivac Rabies,Vaccines,16/01/2025,0,0,111,20,Thursday,1,6,0
1,Nobivac Rabies,Vaccines,17/01/2025,0,0,111,20,Friday,1,0,0
1,Nobivac Rabies,Vaccines,18/01/2025,0,0,111,20,Saturday,1,0,0
1,Nobivac Rabies,Vaccines,19/01/2025,3,0,108,20,Sunday,1,0,0
1,Nobivac Rabies,Vaccines,20/01/2025,0,0,108,20,Monday,1,3,3
1,Nobivac Rabies,Vaccines,21/01/2025,0,0,108,20,Tuesday,1,0,0
1,Nobivac Rabies,Vaccines,22/01/2025,0,0,108,20,Wednesday,1,0,6
1,Nobivac Rabies,Vaccines,23/01/2025,0,0,108,20,Thursday,1,0,0
1,Nobivac Rabies,Vaccines,24/01/2025,0,0,108,20,Friday,1,0,0
1,Nobivac Rabies,Vaccines,25/01/2025,0,0,108,20,Saturday,1,0,0
1,Nobivac Rabies,Vaccines,26/01/2025,0,0,108,20,Sunday,1,0,3
1,Nobivac Rabies,Vaccines,27/01/2025,0,0,108,20,Monday,1,0,0
1,Nobivac Rabies,Vaccines,28/01/2025,0,0,108,20,Tuesday,1,0,0
1,Nobivac Rabies,Vaccines,29/01/2025,0,0,108,20,Wednesday,1,0,0
1,Nobivac Rabies,Vaccines,30/01/2025,0,0,108,20,Thursday,1,0,0
1,Nobivac Rabies,Vaccines,31/01/2025,0,0,108,20,Friday,1,0,0
1,Nobivac Rabies,Vaccines,01/02/2025,0,0,108,20,Saturday,2,0,0
1,Nobivac Rabies,Vaccines,02/02/2025,0,0,108,20,Sunday,2,0,0
1,Nobivac Rabies,Vaccines,03/02/2025,0,0,108,20,Monday,2,0,0
1,Nobivac Rabies,Vaccines,04/02/2025,0,0,108,20,Tuesday,2,0,0
1,Nobivac Rabies,Vaccines,05/02/2025,0,0,108,20,Wednesday,2,0,0
1,Nobivac Rabies,Vaccines,06/02/2025,0,0,108,20,Thursday,2,0,0
1,Nobivac Rabies,Vaccines,07/02/2025,2,0,106,20,Friday,2,0,0
1,Nobivac Rabies,Vaccines,08/02/2025,0,0,106,20,Saturday,2,2,0
1,Nobivac Rabies,Vaccines,09/02/2025,0,0,106,20,Sunday,2,0,0
1,Nobivac Rabies,Vaccines,10/02/2025,0,0,106,20,Monday,2,0,0
1,Nobivac Rabies,Vaccines,11/02/2025,0,0,106,20,Tuesday,2,0,0
1,Nobivac Rabies,Vaccines,12/02/2025,0,0,106,20,Wednesday,2,0,0
1,Nobivac Rabies,Vaccines,13/02/2025,0,0,106,20,Thursday,2,0,0
1,Nobivac Rabies,Vaccines,14/02/2025,0,0,106,20,Friday,2,0,2
1,Nobivac Rabies,Vaccines,15/02/2025,0,0,106,20,Saturday,2,0,0
1,Nobivac Rabies,Vaccines,16/02/2025,0,0,106,20,Sunday,2,0,0
1,Nobivac Rabies,Vaccines,17/02/2025,3,0,103,20,Monday,2,0,0
1,Nobivac Rabies,Vaccines,18/02/2025,0,0,103,20,Tuesday,2,3,0
1,Nobivac Rabies,Vaccines,19/02/2025,0,0,103,20,Wednesday,2,0,0
1,Nobivac Rabies,Vaccines,20/02/2025,0,0,103,20,Thursday,2,0,0
1,Nobivac Rabies,Vaccines,21/02/2025,0,0,103,20,Friday,2,0,0
1,Nobivac Rabies,Vaccines,22/02/2025,2,0,101,20,Saturday,2,0,0
1,Nobivac Rabies,Vaccines,23/02/2025,0,0,101,20,Sunday,2,2,0
1,Nobivac Rabies,Vaccines,24/02/2025,0,0,101,20,Monday,2,0,3
1,Nobivac Rabies,Vaccines,25/02/2025,0,0,101,20,Tuesday,2,0,0
1,Nobivac Rabies,Vaccines,26/02/2025,0,0,101,20,Wednesday,2,0,0
1,Nobivac Rabies,Vaccines,27/02/2025,0,0,101,20,Thursday,2,0,0
1,Nobivac Rabies,Vaccines,28/02/2025,0,0,101,20,Friday,2,0,0
1,Nobivac Rabies,Vaccines,01/03/2025,4,0,97,20,Saturday,3,0,2
1,Nobivac Rabies,Vaccines,02/03/2025,5,0,92,20,Sunday,3,4,0
1,Nobivac Rabies,Vaccines,03/03/2025,0,0,92,20,Monday,3,5,0
1,Nobivac Rabies,Vaccines,04/03/2025,0,0,92,20,Tuesday,3,0,0
1,Nobivac Rabies,Vaccines,05/03/2025,0,0,92,20,Wednesday,3,0,0
1,Nobivac Rabies,Vaccines,06/03/2025,0,0,92,20,Thursday,3,0,0
1,Nobivac Rabies,Vaccines,07/03/2025,5,0,87,20,Friday,3,0,0
1,Nobivac Rabies,Vaccines,08/03/2025,2,0,85,20,Saturday,3,5,4
1,Nobivac Rabies,Vaccines,09/03/2025,0,0,85,20,Sunday,3,2,5
1,Nobivac Rabies,Vaccines,10/03/2025,0,0,85,20,Monday,3,0,0
1,Nobivac Rabies,Vaccines,11/03/2025,0,0,85,20,Tuesday,3,0,0
1,Nobivac Rabies,Vaccines,12/03/2025,0,0,85,20,Wednesday,3,0,0
1,Nobivac Rabies,Vaccines,13/03/2025,0,0,85,20,Thursday,3,0,0
1,Nobivac Rabies,Vaccines,14/03/2025,0,0,85,20,Friday,3,0,5
1,Nobivac Rabies,Vaccines,15/03/2025,0,0,85,20,Saturday,3,0,2
1,Nobivac Rabies,Vaccines,16/03/2025,0,0,85,20,Sunday,3,0,0
1,Nobivac Rabies,Vaccines,17/03/2025,0,0,85,20,Monday,3,0,0
1,Nobivac Rabies,Vaccines,18/03/2025,2,0,83,20,Tuesday,3,0,0
1,Nobivac Rabies,Vaccines,19/03/2025,0,0,83,20,Wednesday,3,2,0
1,Nobivac Rabies,Vaccines,20/03/2025,0,0,83,20,Thursday,3,0,0
1,Nobivac Rabies,Vaccines,21/03/2025,3,0,80,20,Friday,3,0,0
1,Nobivac Rabies,Vaccines,22/03/2025,0,0,80,20,Saturday,3,3,0
1,Nobivac Rabies,Vaccines,23/03/2025,0,0,80,20,Sunday,3,0,0
1,Nobivac Rabies,Vaccines,24/03/2025,0,0,80,20,Monday,3,0,0
1,Nobivac Rabies,Vaccines,25/03/2025,7,0,73,20,Tuesday,3,0,2
1,Nobivac Rabies,Vaccines,26/03/2025,1,0,72,20,Wednesday,3,7,0
