date,service_name,category,quantity,price,revenue
1/01/25,General Consultation / Check-up,Consultation,1,400,400
1/01/25,Basic Grooming,Grooming,1,600,600
1/01/25,Deworming,Preventive Care,1,350,350
1/02/25,Anti-Rabies Vaccine,Vaccination,1,500,500
1/02/25,Tick and Flea Prevention,Preventive Care,1,400,400
1/03/25,6 in 1 Vaccine (Dogs),Vaccination,1,1100,1100
1/03/25,Basic Grooming,Grooming,1,600,600
1/03/25,Basic Grooming,Grooming,1,600,600
1/03/25,Tick and Flea Treatment,Preventive Care,1,450,450
1/03/25,General Consultation / Check-up,Consultation,1,400,400
1/03/25,General Laboratory Service,Laboratory,1,800,800
1/03/25,Follow-up Consultation,Consultation,1,350,350
1/04/25,6 in 1 Vaccine (Dogs),Vaccination,1,1100,1100
1/04/25,Full Grooming,Grooming,1,900,900
1/04/25,Tick and Flea Treatment,Preventive Care,1,450,450
1/04/25,Follow-up Consultation,Consultation,1,350,350
1/05/25,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/05/25,Deworming,Preventive Care,1,350,350
1/05/25,Tick and Flea Treatment,Preventive Care,1,450,450
1/05/25,General Laboratory Service,Laboratory,1,800,800
1/05/25,Full Grooming,Grooming,1,900,900
1/05/25,Follow-up Consultation,Consultation,1,350,350
1/05/25,Follow-up Consultation,Consultation,1,350,350
1/05/25,Follow-up Consultation,Consultation,1,350,350
1/06/25,General Consultation / Check-up,Consultation,1,400,400
1/06/25,Follow-up Consultation,Consultation,1,350,350
1/06/25,General Consultation / Check-up,Consultation,1,400,400
1/07/25,Basic Grooming,Grooming,1,600,600
1/07/25,Full Grooming,Grooming,1,900,900
1/07/25,Anti-Rabies Vaccine,Vaccination,1,500,500
1/07/25,Follow-up Consultation,Consultation,1,350,350
1/07/25,Follow-up Consultation,Consultation,1,350,350
1/08/25,Deworming,Preventive Care,1,350,350
1/08/25,General Consultation / Check-up,Consultation,1,400,400
1/08/25,Full Grooming,Grooming,1,900,900
1/08/25,Full Grooming,Grooming,1,900,900
1/08/25,Full Grooming,Grooming,1,900,900
1/08/25,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/09/25,Basic Grooming,Grooming,1,600,600
1/09/25,General Consultation / Check-up,Consultation,1,400,400
1/09/25,Full Grooming,Grooming,1,900,900
1/09/25,Tick and Flea Treatment,Preventive Care,1,450,450
1/09/25,4 in 1 Vaccine (Cats),Vaccination,1,950,950
1/09/25,Tick and Flea Prevention,Preventive Care,1,400,400
1/09/25,Basic Grooming,Grooming,1,600,600
1/10/25,Tick and Flea Treatment,Preventive Care,1,450,450
1/10/25,Full Grooming,Grooming,1,900,900
1/10/25,Follow-up Consultation,Consultation,1,350,350
1/11/25,General Laboratory Service,Laboratory,1,800,800
1/11/25,General Laboratory Service,Laboratory,1,800,800
1/11/25,Anti-Rabies Vaccine,Vaccination,1,500,500
1/11/25,Full Grooming,Grooming,1,900,900
1/11/25,Basic Grooming,Grooming,1,600,600
1/12/25,General Consultation / Check-up,Consultation,1,400,400
1/12/25,Tick and Flea Treatment,Preventive Care,1,450,450
1/12/25,Follow-up Consultation,Consultation,1,350,350
1/12/25,Full Grooming,Grooming,1,900,900
1/12/25,General Consultation / Check-up,Consultation,1,400,400
1/13/25,Follow-up Consultation,Consultation,1,350,350
1/13/25,Basic Grooming,Grooming,1,600,600
1/13/25,Follow-up Consultation,Consultation,1,350,350
1/13/25,General Laboratory Service,Laboratory,1,800,800
1/13/25,Follow-up Consultation,Consultation,1,350,350
1/13/25,General Laboratory Service,Laboratory,1,800,800
1/13/25,Tick and Flea Treatment,Preventive Care,1,450,450
1/14/25,Anti-Rabies Vaccine,Vaccination,1,500,500
1/14/25,General Consultation / Check-up,Consultation,1,400,400
1/14/25,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/14/25,Deworming,Preventive Care,1,350,350
1/14/25,General Consultation / Check-up,Consultation,1,400,400
1/15/25,Basic Grooming,Grooming,1,600,600
1/15/25,6 in 1 Vaccine (Dogs),Vaccination,1,1100,1100
1/16/25,Follow-up Consultation,Consultation,1,350,350
1/16/25,Follow-up Consultation,Consultation,1,350,350
1/16/25,Basic Grooming,Grooming,1,600,600
1/16/25,Follow-up Consultation,Consultation,1,350,350
1/16/25,4 in 1 Vaccine (Cats),Vaccination,1,950,950
1/16/25,Anti-Rabies Vaccine,Vaccination,1,500,500
1/17/25,Basic Grooming,Grooming,1,600,600
1/17/25,General Consultation / Check-up,Consultation,1,400,400
1/17/25,Deworming,Preventive Care,1,350,350
1/18/25,Anti-Rabies Vaccine,Vaccination,1,500,500
1/18/25,Anti-Rabies Vaccine,Vaccination,1,500,500
1/18/25,General Consultation / Check-up,Consultation,1,400,400
1/18/25,General Laboratory Service,Laboratory,1,800,800
1/18/25,Follow-up Consultation,Consultation,1,350,350
1/18/25,4 in 1 Vaccine (Cats),Vaccination,1,950,950
1/18/25,General Laboratory Service,Laboratory,1,800,800
1/19/25,Follow-up Consultation,Consultation,1,350,350
1/19/25,Follow-up Consultation,Consultation,1,350,350
1/19/25,Follow-up Consultation,Consultation,1,350,350
1/20/25,Tick and Flea Prevention,Preventive Care,1,400,400
1/20/25,Follow-up Consultation,Consultation,1,350,350
1/20/25,Follow-up Consultation,Consultation,1,350,350
1/20/25,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/21/25,General Consultation / Check-up,Consultation,1,400,400
1/21/25,General Consultation / Check-up,Consultation,1,400,400
1/21/25,Deworming,Preventive Care,1,350,350
1/22/25,Basic Grooming,Grooming,1,600,600
1/22/25,Deworming,Preventive Care,1,350,350
1/22/25,Tick and Flea Treatment,Preventive Care,1,450,450
1/22/25,Tick and Flea Prevention,Preventive Care,1,400,400
1/22/25,Tick and Flea Treatment,Preventive Care,1,450,450
1/22/25,Follow-up Consultation,Consultation,1,350,350
1/23/25,Follow-up Consultation,Consultation,1,350,350
1/23/25,Anti-Rabies Vaccine,Vaccination,1,500,500
1/23/25,General Consultation / Check-up,Consultation,1,400,400
1/23/25,General Consultation / Check-up,Consultation,1,400,400
1/24/25,General Laboratory Service,Laboratory,1,800,800
1/24/25,Full Grooming,Grooming,1,900,900
1/24/25,Follow-up Consultation,Consultation,1,350,350
